text,images,compensation,link,address,date,type
Construction Consultant,,per task,https://sfbay.craigslist.org/sby/egr/d/san-jose-construction-consultant/7001575434.html,"
        ,
We are looking for a part time experienced person, who is semi-retired, with experience in construction management, budgeting, inspections and construction cost estimating working with a commercial general contractor, in all trades. Work involves visiting construction sites each month, meeting the construction team, review of contractor's payment applications, schedule, change orders, etc. Good written and verbal skills are needed. Good knowledge of Microsoft Excel and computers is also needed. A degree in; Construction Management, Architecture or Civil Engineering is a plus. Prior experience as a Commercial Project Manager with a General Contractor and/or as an Estimator is very helpful.,
,
Trades person need not apply. Please do not apply if you are looking for a full time position. E-mails without resume will not be considered. Tight deadlines need to be met each month.    ",2019-10-17 11:14,contract
Survey Chain Person - Entry Level,,"Competitive Compensation and benefits (Medical, Dental, Vision, 401k)",https://sfbay.craigslist.org/eby/egr/d/hayward-survey-chain-person-entry-level/7002400449.html,"
        ,
Lea & Braze Engineering has an immediate opening for a Survey Chain Person. This is an entry level position and a great career opportunity! Our team of experienced land surveyors will provide on the job training so no previous experience is required.,
,
The Survey Chain Person works alongside an experienced Party Chief on a variety of field projects, to collect data and information for Topographic Surveys, Boundary Survey, ALTA Surveys and Construction Staking. We are looking for individuals with strong communication skills, professional attitude and the desire to grow in their role. ,
,
Requirements:,
,
• Valid Driver's License,
• Clean Driving Record,
• Ability to work under the direction of a Survey Party Chief,
• Ability to handle rough terrains and carry/lift up to 60 lbs. of Surveying equipment,
,
If you are interested, please submit resume and cover letter by replying to this email. No unsolicited phone calls or emails.    ",2019-10-18 15:18,full-time
ARCHITECT FOR MULTI-FAMILY PROJECTS,,Hourly commensurate with level of experience.,https://sfbay.craigslist.org/sfc/egr/d/san-francisco-architect-for-multi/7002444520.html,"
        ,
Design/Build firm creating cutting-edge multi-family projects is seeking architect with extensive design and AutoCAD experience to collaborate on the design and production phases of several 50+ unit projects.  Must be a team player, self-motivated and detail oriented.   Other required areas of knowledge and experience:,
,
1. Bachelors Degree Minimum,
2. Building Codes.,
2. Wood Frame Construction.,
3. Excellent Writing Skills.,
4. MS Office  ,
,
We offer flexible hours and the ability to work offsite. ,
,
Please provide resume for our consideration.  Thank you for your interest.    ",2019-10-18 16:35,full-time
Office Assistant for Architecture Firm,,Compensation commensurate with experience.,https://sfbay.craigslist.org/sfc/egr/d/san-francisco-office-assistant-for/7002486497.html,"
        ,
BDE Architecture, Inc. is a well-established 50+ person architectural firm. We are located in the heart of SOMA on Howard Street in San Francisco. ,
,
We are looking to hire a full-time Office Assistant. The position involves the support of general daily tasks, as well as assistance on job-related projects and administrative duties.,
,
Responsibilities and Skills Include:,
,
*Excellent organizational skills, combined with a proactive and resourceful approach.,
*Excellent written and oral communication skills.,
*Ability to multi-task, prioritize responsibilities, and perform within deadlines.,
*Ability and willingness to assist staff & provide Front Desk Reception support.,
*Ordering/stocking supplies from multiple vendors.,
*Interfacing with clients, outside vendors and product reps & office service providers.,
*Professional demeanor & positive attitude.,
*Stamp and collate drawing sets and assist Project Managers with city Submittals. ,
*Kitchen upkeep.,
*Assistance with miscellaneous tasks and errands.,
*Willingness to learn new skills and tackle challenges.,
*Computer set-up / IT know-how a plus!,
*Desire to be in a creative and team-based environment.,
 ,
,
Qualifications,
,
Technical and Multimedia Skills Required:,
Office 365 / Microsoft Office Suite,
Acrobat Pro, Bluebeam ,
,
,
How to Apply / Contact:,
Email Hiring Coordinator & Include in Subject Line: BDE – Office Admin,
,
Benefits for full time employees include Health Insurance, Paid Vacation days, and 401K.  We are an equal opportunity employer.    ",2019-10-18 18:06,full-time
Landscape Architectural Assistant: (1-4 years of in-office experience),,Commensurate with experience,https://sfbay.craigslist.org/sfc/egr/d/san-francisco-landscape-architectural/7003639036.html,"
        ,
Landscape Architectural Assistant: (1-4 years of in-office experience),
,
Firm Description,
,
Merrill Morris Partners, (MMP), announces that we are seeking highly motivated and creative,
individuals to fill positions in the San Francisco and/or Oakland office. ,
,
The firm is a ‘Woman Owned Small Business’ with offices in San Francisco and Oakland. The team is made up of landscape architects and urban designers. MMP provides services for a full spectrum of project types predominately in urban environments. Our leading areas of expertise are transit or transportation related projects; green infrastructure, streets, parks/urban open space and housing/place-making and community design. MMP’s client base is broad ranging in both the public and private sectors, predominantly in the Bay Area and at times throughout the Western States.,
,
Job Description:,
,
We are looking for a competent individual with in-office landscape architectural team support,
experience, demonstrated quality AutoCAD working drawing production, exceptional presentation,
graphics, SketchUp skills and full command of the Adobe Creative Suite. You will have the,
opportunity for growth and professional advancement and to work first-hand with experienced,,
senior level staff. Candidate should have an interest in collaborative work, be inspired to learn and,
achieve one’s personal best. Other characteristics should include strong organizational, time,
management and communication skills. Candidates should be passionate about the landscape,
profession and motivated to make an impactful contribution to our team.,
,
Education/Capabilities:,
 - Degree in Landscape Architecture from a certified program,
 - Articulate communication (written and verbal),
,
Landscape Architectural Technical Competencies:,
 - Knowledge of California Native Plants (micro-climate, soil and site influences),
 - Familiar/certified Bay Friendly, LEEDS and SITES,
 - Stormwater Best Management Practices,
 - Landscape construction materials, methods, detailing and specifications,
 - ADA Regulations,
 - Irrigation system design is a plus,
,
Important software skills:,
 - Proficiency in AutoCAD, SketchUp, Adobe Creative Suite, and Microsoft Office,
,
Benefits: MMP offers qualification based competitive salaries, with opportunities for career,
growth, and training/ professional development assistance. Our benefits include a flexible work,
schedule, work-life balance, SAR-SEP Retirement Plan, health insurance (medical, dental, vision),,
and more.,
,
Contact: If you have the qualifications stated above with the required minimum experience and,
you want to work in a beautiful open studio environment, please submit a formal cover letter,
describing your current position, responsibilities and please feel free to express your passion,
and/or ambitions; resume, portfolio representing range of project experience including,
construction documents, concept plans and graphics, and a writing sample to this post.    ",2019-10-20 20:38,full-time
Health Care Project Manager,,dependent on experience,https://sfbay.craigslist.org/scz/egr/d/santa-cruz-health-care-project-manager/7003851788.html,"
        ,
Position for Construction Project Manager with healthcare experience located in the Santa Cruz area.  The ideal candidate will be able to work in a variety of environments and have responsibility for coordinating construction projects from inception to completion as well as general facility management tasks. ,
,
Typical tasks include, but are not limited to:,
•	Meeting with clients to develop project scope, coordinating the activities of design professionals, and managing contractors to achieve client objectives. ,
•	Reviewing design and construction documents and insures the quality and accuracy of the product. ,
•	Inspecting the construction of medical and other facilities and insures the work complies with project plans and specifications. ,
•	Supervision of field construction by issuing work orders; resolving design issues; verifying materials used by contractors; meeting requirements of, and resolving issues with, local and state authorities. ,
•	Maintaining information accessible by filing plans and documents; updating field engineering maps, drawings, materials, and specifications databases; documenting installations and modifications.,
•	Coordination of personnel and equipment moves are also performed in this position.,
•	Using construction database to track contracts, budget, schedule, and documents.,
,
,
PM Qualifications:,
•	Associates Degree or professional certification,
•	Minimum three to five years experience in corporate facilities planning and project management and experience with projects from $1M to 5M.,
•	Proven ability to estimate and manage minor budgets ,
•	Excellent communication and customer service skills ,
•	Healthcare and OSHPD experience is preferred ,
•	CPM Scheduling,
•	Required computer skills are MS Office, MS Outlook, and Adobe Acrobat/Bluebeam,
,
    ",2019-10-21 08:42,full-time
Manager of Geotechnical Services,,Excellent salary and benefits commensurate with experience.,https://sfbay.craigslist.org/sby/egr/d/san-jose-manager-of-geotechnical/6992607896.html,"
        ,
Job Description: Ninyo & Moore has an immediate opening for a Manager of Geotechnical Services in the San Jose, CA office. The candidate will be responsible for the day to day operations of the Geotechnical Group and will direct, review, and oversee projects and provide guidance to engineering staff.,
,
Required Education and Skills: The successful candidate should be a licensed professional engineer in California with over 10 years of related experience. MS Degree in geotechnical engineering is preferred. A well-rounded background in geotechnical engineering, strong work ethic, excellent interpersonal and leadership skills. Candidate should have excellent verbal and written communication skills, positive attitude, and problem solving skills.,
,
Status: Full time,
,
Location: San Jose, CA ,
,
Reference ID: MGS-SJ,
,
To apply, click or copy link into browser:  ,
,
Note: please include job reference id in subject line of job application,
    ",2019-10-04 10:12,full-time
Chief Geotechnical Engineer,,Excellent salary and benefits commensurate with experience.,https://sfbay.craigslist.org/sby/egr/d/san-jose-chief-geotechnical-engineer/6992608628.html,"
        ,
Job Description: Ninyo & Moore has an immediate opening for a Chief Geotechnical Engineer in the San Jose, CA office. The candidate will direct, review, and oversee projects, as well as provide guidance to technical staff.,
,
Required Education and Skills: The successful candidate should be a licensed professional engineer in California with over 10 years of related experience. MS Degree in geotechnical engineering is preferred. A well-rounded background in geotechnical engineering, strong work ethic, excellent interpersonal and leadership skills, and a track record of successful client relationships are required. Candidate should have excellent verbal and written communication skills, positive attitude, and problem solving skills.,
,
Status: Full time,
,
Location: San Jose, CA ,
,
Reference ID: CGE-SJ,
,
To apply, click or copy link into browser:  ,
,
Note: please include job reference id in subject line of job application,
    ",2019-10-04 10:13,full-time
Senior Geotechnical Engineer,,Excellent salary and benefits commensurate with experience.,https://sfbay.craigslist.org/eby/egr/d/alameda-senior-geotechnical-engineer/6992615464.html,"
        ,
Job Description:  Ninyo & Moore has an immediate opening for a Senior Geotechnical Engineer to work in a collaborative and team environment. The primary responsibility will be to manage and conduct geotechnical studies for public works, private developments and forensic evaluations. Primary duties include geotechnical evaluations of geologic and seismic hazards: Analyses of seismic ground motion, liquefaction, slope stability, foundation settlement, and prepare geotechnical engineering proposals and reports. Other duties include technical review and mentoring staff-level engineers, geologist and field technicians. This position offers the candidate the opportunity to learn forensic evaluation of distressed or failed structures. Regular and frequent interaction with clients is expected.,
,
Education: M.S. in Geotechnical Engineering is required.,
,
Required Skills: A California licensed Civil or Geotechnical Engineer with at least 8 years of Geotechnical Consulting experience in the San Francisco Bay Area. The candidate is a team player, be detail and result oriented and have excellent verbal and written communication skills.,
,
Status: Full time,
,
Location: Alameda or San Jose, CA,
,
Reference ID: SGE-ALA,
,
To apply, click or copy link into browser:  ,
,
 Note: please include job reference id in subject line of job application,
    ",2019-10-04 10:20,full-time
Project Geotechnical Engineer,,Excellent salary and benefits commensurate with experience.,https://sfbay.craigslist.org/eby/egr/d/alameda-project-geotechnical-engineer/6992610273.html,"
        ,
Job Description: Ninyo & Moore has an immediate opening for a Project Geotechnical Engineer in our Alameda, CA office who wishes to work in a collaborative and supportive environment. The primary responsibility will be to manage and conduct geotechnical studies for public works, private developments and forensic evaluations. Primary duties include geotechnical evaluations of geologic and seismic hazards: Analyses of seismic ground motion, liquefaction, slope stability, foundation settlement, and prepare geotechnical engineering proposals and reports. Secondary duties include technical review and working with staff-level engineers, geologist and field technicians. This position offers the candidate the opportunity to learn forensic evaluation of distressed or failed structures. Regular and frequent interaction with clients is expected.,
,
Education: M.S. in Geotechnical Engineering,
,
Required Skills: A licensed Civil Engineer in California with a least 6 years of Geotechnical Consulting experience in the San Francisco Bay Area. Experience with construction and grading activities is helpful. The candidate is a team player, be detail and result oriented and have excellent verbal and written communication skills.,
,
Status: Full time,
,
Location: Alameda, CA,
,
Reference ID: PGE-ALA,
,
To apply, click or copy link into browser:  ,
,
Note: please include job reference id in subject line of job application,
    ",2019-10-04 10:14,full-time
Senior Geotechnical Engineer,,Excellent salary and benefits commensurate with experience.,https://sfbay.craigslist.org/sby/egr/d/san-jose-senior-geotechnical-engineer/6992616553.html,"
        ,
Job Description:  Ninyo & Moore has an immediate opening for a Senior Geotechnical Engineer to work in a collaborative and team environment. The primary responsibility will be to manage and conduct geotechnical studies for public works, private developments and forensic evaluations. Primary duties include geotechnical evaluations of geologic and seismic hazards: Analyses of seismic ground motion, liquefaction, slope stability, foundation settlement, and prepare geotechnical engineering proposals and reports. Other duties include technical review and mentoring staff-level engineers, geologist and field technicians. This position offers the candidate the opportunity to learn forensic evaluation of distressed or failed structures. Regular and frequent interaction with clients is expected.,
,
Education: M.S. in Geotechnical Engineering is required.,
,
Required Skills: A California licensed Civil or Geotechnical Engineer with at least 8 years of Geotechnical Consulting experience in the San Francisco Bay Area. The candidate is a team player, be detail and result oriented and have excellent verbal and written communication skills.,
,
Status: Full time,
,
Location: Alameda or San Jose, CA,
,
Reference ID: SGE-ALA,
,
To apply, click or copy link into browser:  ,
,
 Note: please include job reference id in subject line of job application,
    ",2019-10-04 10:21,full-time
NPS - Fort Point - Construction Manager Needed,,$55-$75 per hour,https://sfbay.craigslist.org/sfc/egr/d/san-francisco-nps-fort-point/6992634860.html,"
        ,
Navigate is seeking an onsite construction manager that would work as a 1099/ contract employee for 2,112 hours. The project is as follows:,
,
This project would remove concrete paving from the barbette (roof) tier, install a new waterproof membrane, and reinstall a portion of concrete paving. Historically, the barbette tier was a sod surface which was replaced with concrete circa 1912. A sod roof would be installed over the membrane on a portion of the roof and a new gutter system would be installed. Work would include repairs and repointing of brick masonry which have deteriorated over time due to the leaking roof. ,
,
Qualified candidates have:,
a.	Education and professional qualifications related to construction, architecture and engineering.,
b.	Experience proving similar services for similar projects (i.e. waterproofing, tuckpointing, historic renovation, etc). Provide information regarding the project and the work that you have performed. In addition include project owner representative contact information.,
c.	Past Performance: Provide 3 references. The NPS reserves the right to contact references to confirm experience, qualifications and performance. The NPS also reserves the right to obtain past performance information from any source.,
,
Compensation will be between $55-$75 per hour depending on experience.,
,
Qualified candidates only please send your resumes.,
    ",2019-10-04 10:39,contract
Staff Geotechnical Engineer,,Excellent salary and benefits commensurate with experience.,https://sfbay.craigslist.org/sby/egr/d/san-jose-staff-geotechnical-engineer/6992639345.html,"
        ,
Job Description: Ninyo & Moore has an immediate opening for a Staff Geotechnical Engineer in San Jose, CA. The successful candidate will perform the following duties: Coordination and scheduling of geotechnical subsurface evaluations, boring mark-out for utility clearance, and supervision of drill rig crews, classification of soils and logging of borings, test pits, and cores, performing floor level surveys, documentation of distressed structures, assignment of lab testing, and geotechnical report preparation. Additionally the Staff Engineer will be responsible for assignment and compilation of laboratory testing and geotechnical calculations, including calculations pertaining to slope stability analysis, liquefaction, dynamic settlement, and pile design.,
,
Education: B.S. / B.A. in Civil Engineering, Geotechnical Engineering, Construction Engineering,
,
Required Skills: Entry level to two years experience, preferably with a geotechnical consulting firm performing duties described above. Candidate should have an understanding and knowledge of soil mechanics and geotechnical engineering. Candidate should have excellent verbal and written communication skills, positive attitude, good organizational skills, and a strong work ethic. Must be able to work both independently and as a team member. Must have a current valid driver's license.,
,
Status: Full time,
,
Location: San Jose, CA,
,
Reference ID: SGE-SJ,
,
To apply, click or copy link into browser:  ,
,
Note: please include job reference id in subject line of job application,
    ",2019-10-04 10:44,full-time
Staff Geotechnical Engineer,,Excellent salary and benefits commensurate with experience.,https://sfbay.craigslist.org/eby/egr/d/alameda-staff-geotechnical-engineer/6992638335.html,"
        ,
Job Description: Ninyo & Moore has an immediate opening for a Staff Geotechnical Engineer in our Alameda, CA office. The successful candidate will perform the following duties: Coordination and scheduling of geotechnical subsurface evaluations, boring mark-out for utility clearance, and supervision of drill rig crews, classification of soils and logging of borings, test pits, and cores, performing floor level surveys, documentation of distressed structures, assignment of lab testing, and geotechnical report preparation. Additionally the Staff Engineer will be responsible for assignment and compilation of laboratory testing and geotechnical calculations, including calculations pertaining to slope stability analysis, liquefaction, dynamic settlement, and pile design.,
,
Education:B.S. / B.A. in Civil Engineering, Geotechnical Engineering, Construction Engineering,
,
Required Skills:Entry level to two years' experience, preferably with a geotechnical consulting firm performing duties described above. Candidate should have an understanding and knowledge of soil mechanics and geotechnical engineering.  Candidate should have excellent verbal and written communication skills, positive attitude, good organizational skills, and a strong work ethic. Must be able to work both independently and as a team member. Must have a current valid driver’s license.,
,
Status: Full time,
,
Location: Alameda, CA,
,
Reference ID: SGE-ALA,
,
To apply, click or copy link into browser:  ,
,
Note: please include job reference id in subject line of job application,
    ",2019-10-04 10:43,full-time
